"dialog_keys";"type";"gesture file";"LED file";"Alternative 1";"Alternative 2";"Alternative 3";"Alternative 4"
"keyMainQuestion";"question";"QuestionGesture_2.py";"QuestionLed_2.csv";"Sind Sie bereit, um mit den Übungen anzufangen?";"Sollen wir tanzen?";"Fertig?";
"keyConfirm";"question";"CommandGesture_4.py";"HappyLed_5.csv";"Bitte werden Sie fertig für die Übungen. Sagen Sie Ja, wenn Sie fertig sind und Nein, um abzubrechen.";;;
"keyAccept";"message";"HappyGesture_4.py";"HappyLed_5.csv";"Toll! Ich werde die Übungen für Dich demonstrieren.";;;
"keyDeny";"message";"SadGesture_2.py";"SadLed_2.csv";"Ok. Keine Übungen jetzt.";;;
"dialog_logic";"reply 1";"next_key 1";"reply 2";"next_key 2";"reply 3";"next_key 3";
"keyMainQuestion";"ja";"keyAccept";"nein";"keyConfirm";"das habe ich nicht verstanden";"keyDeny";
"keyConfirm";"ja";"keyAccept";"nein";"keyDeny";"das habe ich nicht verstanden";"keyDeny";
